,eventyr,sætning,kategori,årstal
0,aarets-historie,"Det var sidst i Januar; en frygtelig Sneestorm var det; Sneen fløi i fygende Hvirvel gjennem Gader og Stræder; Ruderne udenpaa vare som overklistrede med Snee, fra Tagene styrtede den i Dynger, og saa var der en Flugt i Folk, de løb, de fløi og foer hinanden i Armene, holdt hinanden fast et Øieblik og havde saalænge Fodfæste.",Ikke-relevante segmenter,1852
1,aarets-historie,"Karreeter og Heste vare ligesom overpuddrede, Tjenerne stode med Ryggen mod Karreeten og kjørte baglænds imod Vinden, Fodgjængeren holdt sig stadigt i Læ af Vognen, der kun langsomt gled afsted i den dybe Snee; og da endelig Stormen lagde sig og der blev kastet en smal Sti langs Husene, saa stod dog Folk stille der, naar de mødtes; ingen af dem havde Lyst til at gjøre det første Skridt, med at træde op i den dybe Snee, for at den Anden kunde slippe forbi.",Ikke-relevante segmenter,1852
2,aarets-historie,"Tause stode de, til endelig, efter ligesom en stille Overeenskomst, hver af dem gav eet Been til Priis og lod dette gaae ind i Sneedyngen.",Ikke-relevante segmenter,1852
3,aarets-historie,"Mod Aften var det blikstille, Himlen saae ud, som om den var feiet og gjort mere høi og gjennemsigtig, Stjernerne syntes splinternye, og nogle vare saa blaa og klare, – og det frøs saa det knagede efter, – sagtens kunde da det øverste Sneelag blive saa stærkt, at det i Morgenstunden bar Graaspurvene; de hoppede om snart oppe snart nede, hvor der var skovlet, men megen Æde var der ikke at finde, og de frøs ordentligt.",Ikke-relevante segmenter,1852
4,aarets-historie,"»Pip!«
sagde den ene til den anden, »det kalder man det nye Aar!",Ikke-relevante segmenter,1852
5,aarets-historie,"–
det er jo værre, end det gamle!",Ikke-relevante segmenter,1852
6,aarets-historie,saa kunde vi ligesaa godt have beholdt det.,Ikke-relevante segmenter,1852
7,aarets-historie,"Jeg er misfornøiet og det har jeg Grund til!«
»Ja, der løb nu Menneskene om og skjød Nytaar ind,« sagde en lille forfrossen Spurv, »de sloge Potter paa Døre og vare reent ellevilde af Glæde over at nu gik det gamle Aar væk!",Fattigdom,1852
8,aarets-historie,"og det var jeg ogsaa glad over, for jeg ventede, at vi da vilde faae varme Dage, men det er der ikke blevet noget af; det fryser meget strængere end før!",Ikke-relevante segmenter,1852
9,aarets-historie,"Menneskene have taget feil af Tidsregningen!«
»Det har de!«
sagde en tredie, der var gammel og hvid i Toppen; »de have nu Noget, som de kalde Almanaken, den er saadan deres egen Opfindelse, og saa skal Alt gaae efter den!",Ikke-relevante segmenter,1852
10,aarets-historie,men det gjør det ikke.,Ikke-relevante segmenter,1852
11,aarets-historie,"Naar Foraaret kommer, saa begynder Aaret, det er Naturens Gang, og den regner jeg efter!«
»Men, naar kommer Foraaret?«
spurgte de Andre.",Ikke-relevante segmenter,1852
12,aarets-historie,"»Det kommer naar Storken kommer, men det er meget ubestemt med ham, og herinde i Byen er der Ingen, der veed noget derom, det veed de bedre ude paa Landet; skal vi flyve derud og vente?",Ikke-relevante segmenter,1852
13,aarets-historie,"Der er man da Foraaret nærmere.«
»Ja, det kan være meget godt!«
sagde en af dem, der længe havde gaaet og pippet uden egentlig at sige Noget.",Ikke-relevante segmenter,1852
14,aarets-historie,"»
Jeg har herinde i Byen nogle Beqvemmeligheder, som jeg er bange, at jeg vil komme til at savne derude.",Ikke-relevante segmenter,1852
15,aarets-historie,"Heromme i en Gaard er der en Menneske-Familie, der meget fornuftigt har fundet paa at slaae fast i Væggen tre, fire Urtepotter med den store Aabning ind og Bunden ud ad, i den er der skaaret et Hul saa stort, at jeg kan flyve ud og ind; der har jeg og min Mand Rede, og derfra ere alle vore Unger fløine ud.",Fattigdom,1852
16,aarets-historie,"Menneskefamilien har naturligviis indrettet det Hele for at have den Fornøielse at see paa os, ellers havde de nok ikke gjort det.",Ikke-relevante segmenter,1852
17,aarets-historie,"De strøe Brødkrummer ud, ogsaa for deres Fornøielse, og vi have da Føden!",Fattigdom,1852
18,aarets-historie,"der er ligesom sørget for En; – og saa troer jeg, at jeg bliver og min Mand bliver!",Ikke-relevante segmenter,1852
19,aarets-historie,"skjøndt vi ere meget misfornøiede, – men vi blive!«
»Og vi flyve ud paa Landet, for at see om ikke Foraaret kommer!«
og saa fløi de.",Ikke-relevante segmenter,1852
20,aarets-historie,Og der var ordentlig Vinter ude paa Landet; det frøs der et Par Grader stærkere end inde i Byen.,Ikke-relevante segmenter,1852
21,aarets-historie,Den skarpe Vind blæste hen over de sneelagte Marker.,Ikke-relevante segmenter,1852
22,aarets-historie,"Bonden, med store Bælvanter paa, sad i sin Slæde og slog sig med sine Arme for at faae Kulden af dem, Pidsken laae paa Skjødet, de magre Heste løb, saa de dampede, Sneen knagede, og Spurvene hoppede i Hjulsporene og frøs; »pip!",Ikke-relevante segmenter,1852
23,aarets-historie,naar kommer Vaaren?,Ikke-relevante segmenter,1852
24,aarets-historie,"Det varer saa længe!«
»Saa længe!«
klang det hen over Markerne fra den høieste Banke, belagt med Snee; og det kunde være Eccho man hørte, men det kunde ogsaa være Tale af den underlige gamle Mand, som sad der øverst paa Sneedriven i Vind og Veir; han var ganske hvid, ligesom en Bonde i hvid Vadmels-Kofte, med langt hvidt Haar, hvidt Skjæg, ganske bleeg og med store klare Øine.",Ikke-relevante segmenter,1852
25,aarets-historie,"»Hvem er den Gamle der henne?«
spurgte Spurvene.",Ikke-relevante segmenter,1852
26,aarets-historie,"»Det veed jeg!«
sagde en gammel Ravn, der sad paa Ledpælen, og var nedladende nok til at erkjende, at vi alle ere Smaafugle for vor Herre, og derfor ogsaa indlod sig med Spurvene og gav Forklaring.",Ikke-relevante segmenter,1852
27,aarets-historie,"»
Jeg veed hvem den Gamle er.",Ikke-relevante segmenter,1852
28,aarets-historie,"Det er Vinteren, den gamle Mand fra det forrige Aar, han er ikke død, som Almanaken siger, nei han er saamæn Formynder for den lille Prinds Foraar, der kommer.",Ikke-relevante segmenter,1852
29,aarets-historie,"Jo, Vinteren fører Regimentet.",Ikke-relevante segmenter,1852
30,aarets-historie,Hu!,Ikke-relevante segmenter,1852
31,aarets-historie,"det knager nok i Jer, I Smaa!«
»Ja, er det ikke det jeg siger!«
sagde den Mindste, »den Almanak er bare Menneske-Paafund, den er ikke lempet efter Naturen!",Fattigdom,1852
32,aarets-historie,"det skulde de lade os om, vi, som ere finere skabte!«
Og der gik een Uge, der gik næsten to; Skoven var sort, den frosne Indsø laae saa tung og saae ud som størknet Bly; Skyerne, ja det var ikke Skyer, det var vaade, iiskolde Taager, der hang hen over Landet; de store sorte Krager fløi i Flokke, uden Skrig, det var som om Alt sov.",Ikke-relevante segmenter,1852
33,aarets-historie,"–
Der gled en Solstraale hen over Søen, og den skinnede som smeltet Tin.",Ikke-relevante segmenter,1852
34,aarets-historie,"Sneelaget henover Marken og oppe paa Banken glimrede ikke som før, men den hvide Skikkelse, Vinteren selv, sad der endnu med Blikket stadigt mod Syden; han mærkede slet ikke, at Sneetæppet ligesom sank ind i Jorden, at hist og her en lille græsgrøn Plet kom frem, og der mylrede det da med Spurve.",Ikke-relevante segmenter,1852
35,aarets-historie,»Quivit!,Ikke-relevante segmenter,1852
36,aarets-historie,Quivit!,Ikke-relevante segmenter,1852
